ref_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
27,10667.9,-1.16,1.00814,0.62398,2.673210263,1.4,9348,6.17493,0.47499,16.6248,0,1.95245,8.21875,6880
17,10667.9,-0.7,1.12009,0.62398,2.829689203,1.4,9569,7.73209,1.78433,5.35298,0,3.90277,8.21875,6400
88,10667.9,-0.49,1.05385,0.62398,2.841893548,1.4,9153,3.66349,2.38127,11.1736,0,1.62262,8.21875,5600
33,10667.9,0.59,1.07777,0.62398,2.587838887,1.4,8850,7.62333,5.24104,6.19396,0,1.35775,8.21875,8300
51,10667.9,8.58,1.07447,0.62398,2.824041106,1.4,12860,15.50042,0.91179,7.29429,0,5.38462,8.21875,6600
30,10667.9,-2.33,1.04468,0.62398,2.638472897,1.4,10368,4.53627,0.34894,11.1662,0,3.13686,8.21875,8500
106,1849.5,1.55,0.8946,0.62398,2.720184964,1.4,14013,1.23967,2.56198,1.73554,0,6.81442,8.21875,2900
101,1299.87,0.98,0.90568,0.62398,2.212503255,1.4,8488,0.42918,0.90129,1.07296,0,4.35831,8.21875,1900
74,2414.79,-0.32,1.22875,0.62398,2.837451031,1.4,10628,0.625,0.13889,0.83333,0,7.31027,8.21875,4800
89,892.685,-0.64,0.94829,0.62398,2.070195822,1.4,14315,0.20134,0.4698,0.67114,0,12.0367,8.21875,1400
50,1928.88,1.92,0.97926,0.62398,2.362367315,1.4,13751,0.41958,0.27972,1.74825,0,2.05561,8.21875,4000
14,2686.5,-1.29,0.95594,0.62398,2.489851526,1.4,14504,0.21898,0.80292,2.40876,0,3.4479,8.21875,5300
36,1555.06,-2.67,0.96682,0.62398,2.223575858,1.4,9923,0.58442,0.84416,3.11688,0,9.83798,8.21875,3000
16,1176.97,0.96,1.00484,0.62398,2.539008316,1.4,13727,0.18958,0.33175,0.90047,0,10.5943,8.21875,2900
10,525.703,2.03,0.99969,0.62398,2.533874777,1.4,8158,0.28112,1.72691,1.48594,0,7.02063,8.21875,2000
3,1392.54,0.05,0.99512,0.62398,2.080022943,1.4,12138,0.12931,0.21552,0.25862,1,4.63677,8.21875,3900
21,1387.57,-0.05,1.04919,0.62398,2.538807489,1.4,22449,0.29412,0.58824,1.32353,0,0.07949,8.21875,6200
9,1541.44,1.07,1.04158,0.62398,2.507605262,1.4,14189,0.96257,0.26738,2.35294,1,3.62546,8.21875,6200
4,1501.38,2.18,0.9898,0.62398,2.600976722,1.4,14256,0.26316,0.26316,0.78947,1,3.72902,8.21875,4300
