stationID	observed	simulated
170019	2183	46
170105	1904	38
170107	896	1
170127	87	0
170160	377	2
170161	287	1
170012	258	6
170080	343	2
170077	2610	52
170081	3329	52
170189	2749	60
170079	268	0
170078	561	3
170018	512	3
170011	425	0
170106	693	30
170131	1555	1
170130	791	5
170128	1712	3
170003	16400	178
170126	255	0
170124	1213	2
170162	941	1
170017	3906	88
170112	1876	3
170113	1357	2
170015	298	54
170102	329	12
170013	2214	31
170099	1074	7
170082	9330	32
170201	2587	46
170190	145	12
170103	234	10
170119	734	0
170125	52	0
170083	647	15
170084	205	3
170166	38	0
170168	2334	17
170167	1199	2
170181	126	3
170169	2144	17
170170	1385	4
170200	355	0
170002	13718	20
170085	474	11
170180	1175	4
170086	307	9
170165	48	1
170101	108	3
170089	712	9
170098	937	7
170087	330	1
170123	444	0
170097	1110	7
170088	268	6
170192	96	10
170001	2463	82
170129	1086	1
170115	1072	7
170094	546	29
170096	1207	1
170093	97	2
170014	2026	11
170092	400	17
170116	1575	7
170090	351	23
170121	759	3
170176	1100	1
170175	63	0
170173	155	2
170163	36	0
170197	141	0
170122	140	0
170164	758	2
170198	2873	38
170118	1334	5
170016	205	3
170117	1031	2
170095	8924	74
170193	400	9
170177	1076	1
170120	354	0
170172	571	8
170178	221	0
170195	144	1
170196	89	0
170179	502	2
170199	2796	35
170846	564	17
170853	208	21
170851	395	2
170852	977	2
170848	800	72
170847	1532	60
170849	9258	912
171148	1845	47
171144	5696	49
170845	42	1
170844	440	7
170843	166	4
171147	312	40
170864	20575	271
171141	2075	31
171146	370	3
171181	616	120
170863	816	35
171145	1165	34
171142	2099	119
171149	179	20
171176	350	14
171177	2091	133
171179	101	1
170862	1324	25
171167	1063	45
171121	513	28
171120	1191	18
170880	23051	272
171166	827	20
171125	44132	1160
170878	17989	81
170877	22425	575
171183	740	5
171178	246	43
170879	31572	46
171111	20550	578
171180	1066	5
171160	19180	654
170861	14277	100
170876	21307	65
171136	14494	125
171117	13750	233
171110	28928	1061
171118	5018	72
171119	544	70
170873	23975	185
171192	759	3
171190	1134	11
171107	7255	18
170872	15868	222
170874	3061	240
171164	191	9
171165	279	2
171108	10453	450
171116	2873	461
171109	16457	800
171202	1047	66
171191	254	2
171126	2371	115
171139	23703	561
171124	205	28
171200	1926	108
171201	518	26
171140	16725	115
171134	33945	634
171138	20755	715
171133	34119	705
171135	24052	80
171189	322	11
171128	2577	225
171114	2794	470
171123	1591	121
171127	2473	12
171132	43356	1161
171199	253	22
171216	716	42
171112	3529	72
171122	1385	295
171162	522	15
171163	1195	22
171115	1294	40
171198	237	13
171129	8523	226
171130	47452	389
171113	28177	2359
171022	2874	46
171175	580	59
171066	9706	80
171065	6469	235
171020	5736	752
171081	230	14
171021	1966	27
171067	26659	2475
171023	4168	119
171024	13366	916
171025	2103	763
171197	3512	169
171174	2820	341
171019	1179	271
171188	1239	4
171048	601	17
171196	2011	64
171173	270	42
171063	528	1
171068	33675	621
171194	1227	31
171047	15981	1872
171049	1120	52
171215	829	82
171172	685	23
171069	7688	566
171195	322	8
171105	15607	294
171046	1771	69
171083	163	13
171193	555	33
171045	11295	832
171062	271	8
171044	648	17
171018	1305	784
171159	36153	816
171043	480	0
171027	3117	367
171052	3129	18
171026	3593	22
171035	3333	129
171057	1737	129
171061	5323	629
171058	5766	632
171042	4401	323
171070	3253	496
171187	269	3
171033	4980	49
171051	4991	6
171053	5472	52
171041	676	5
171085	358	91
171054	5269	244
171032	3255	25
171040	3019	13
171079	9122	2225
170975	2407	27
170974	39	44
171017	5856	333
171039	2971	30
171217	617	25
171078	15435	808
171169	2462	322
171030	3469	15
171038	1155	20
171184	592	8
170971	3053	4
171213	54	5
171077	8436	475
171076	8673	441
171016	4895	288
171075	73	1204
171071	7307	83
171037	466	19
171088	20041	564
171055	7143	601
171094	16946	152
171095	543	46
171093	22513	421
171214	1021	81
171168	1264	81
171028	2731	3
171092	16266	761
171072	14886	736
171011	3757	27
171170	945	7
171060	4587	73
171014	2804	175
171090	14401	943
171104	18101	310
171091	5481	156
171209	271	13
171015	3653	81
170951	6280	11
171029	7378	300
171034	7057	288
171103	9931	336
171102	13546	169
171013	5451	5
170950	1365	4
171212	839	22
170949	4872	148
171222	977	68
171073	9029	234
171157	27617	851
171012	5155	45
171010	6114	15
171031	1393	12
171158	7267	74
171059	5070	555
171074	6856	1115
171211	870	17
171100	1094	76
171218	1491	67
170977	11009	1053
171210	728	26
170976	9350	254
171208	1075	19
171204	549	18
170989	2616	198
171205	192	8
171097	4253	77
170970	2497	134
170972	1199	16
171203	2085	71
171207	144	1
170947	5482	358
170994	174	37
171004	3241	64
170990	3583	208
171228	100	18
171206	202	3
171219	1236	39
171221	892	14
170870	24893	2069
171229	5344	37
170987	2475	252
170988	9075	361
170964	1672	59
171227	1630	95
171226	145	9
171225	262	20
171005	65	10
170969	677	18
170993	1103	19
171007	1685	21
170968	6245	15
170991	13380	102
171224	1073	67
170986	9275	85
170960	762	38
170962	476	13
170959	6337	485
171009	2457	122
171220	496	10
171223	743	40
170967	18382	1373
170966	27723	1475
170983	433	1379
170985	8405	991
171006	15750	33
170995	6291	219
171152	13663	198
171151	3160	76
171002	29670	1651
171008	4232	150
170997	2390	26
170984	10921	334
170869	22145	1379
170981	629	10
170956	4694	241
170955	4169	71
170954	1618	48
170957	11620	461
170958	14889	431
171154	2737	64
170979	5008	329
171231	130	6
170953	10417	355
170952	5933	421
170999	5443	269
171001	113	5
170980	5460	83
170938	5184	163
170923	10818	423
171155	336	146
171230	1004	29
170939	12453	759
170930	11250	556
170931	6104	15
170935	199	0
171232	397	5
170927	7176	211
170933	6658	222
170928	15670	389
170867	12554	327
170921	4952	9
170925	10443	35
170919	1280	32
170866	8320	212
170924	4824	137
170943	159	2
170909	644	6
170917	413	7
170915	978	0
170854	434	8
170905	1247	4
171150	1172	9
170855	698	8
170856	70	5
170896	262	2
170891	417	1
170895	199	1
170893	487	9
170890	188	0
170889	1312	1
170888	254	0
170894	610	3
170886	1202	1
170887	422	0
170892	1191	1
170885	3142	2
170884	925	0
170883	222	0
170882	588	10
170860	422	3
170859	251	5
170857	93	130
170858	690	9
