310507	11.92	1.6	7.8125	3.5644	44.51	61.4964	22.0879	6.5693	2.4	41.84
310508	2.6588	1.8464	7.6677	5.1305	51.91	45.975	24.6738	4.2934	0.517	40.325
310509	6.4827	6.8678	13.2075	4.5419	39.75	63.3234	24.9305	4.6407	1.2195	57.1887
310510	17.6853	15.9948	18.1818	5.3061	65.77	68.4909	36.5559	7.2968	2.2757	55.7868
310511	16.3972	12.7598	22.9765	5.0898	61.82	69.0184	32.3879	9.0491	3.4642	61.9515
310512	15.5995	3.2596	13.6038	5.5107	49.97	63.6637	35.0814	5.4054	5.7043	50.2328
310513	20.0754	8.4826	8.4967	6.0113	41.56	46.3235	42.5641	11.3971	0.2828	65.033
310514	28.6854	27.7836	33.3787	5.3661	49.82	77.0221	44.127	8.9154	17.9327	51.3007
310515	15.6932	12.2449	9.2537	8.2353	44.09	56.6191	46.8384	10.1833	5.841	73.2582
310601	11.3532	8.5245	15.2294	3.1716	49.31	68.6189	21.7962	7.3427	5.5046	49.9618
310602	18.3366	13.5397	17.7536	7.2727	55.73	76.2681	26.9782	10.3261	3.3269	59.0329
310603	11.7834	6.2279	7.9882	6.8443	56.48	65.3909	20.5015	3.2573	2.3355	47.0983
310604	10.1054	6.5431	4.8733	4.2445	60.69	79.1506	20.7287	4.0154	5.0164	33.7695
310605	29.2453	15.4572	1.8315	0.9464	52.19	82.2408	39.3268	2.503	5.6604	45.0653
310606	12.8828	9.7149	0	6.0498	66.15	67.3993	18.254	3.2967	6.7582	27.5607
310607	33.0576	16.3137	25.1366	6.7623	62.98	92.2443	31.8448	16.129	16.1482	66.1813
310608	7.3616	2.7483	6.5315	3.3615	61.15	62.7213	4.0135	1.8329	15.7636	18.4334
310609	8.1911	1.9018	6.8252	3.3813	65.56	66.8686	10.9462	1.3578	12.7433	22.8062
310610	12.2215	0.5092	10.8434	4.2651	81.08	86.9239	6.712	3.0011	6.6836	24.5703
310611	8.9744	2.4038	5.7471	7.9895	73.38	79.2187	7.9007	3.4375	4.4071	43.2692
310612	8.39	1.0204	0	4.6398	58.33	68.5039	12.7273	0.4499	1.1338	24.6032
310613	7.7399	6.3467	9.1255	8.5607	55.78	76.7521	21.6783	14.359	5.3406	57.1207
310614	6.9106	1.9512	7.2581	6.9542	59.43	75.2434	14.9653	3.4771	3.4146	23.1707
310615	4.3993	2.7073	5.0279	1.476	61.45	75.4505	12.5753	5.0676	1.8613	18.5562
