OBJECTID,AREA,TAZ,POPU,WORK,EMP,Length
569,1648693.77,4307,822,298,331,6359.92
570,888978.08,4308,571,295,2,4906.21
571,2784113.15,4335,26,10,438,9892.25
572,2223800.81,4334,1918,1037,253,6510.86
573,3176375.08,4316,40,40,535,7689.33
574,1850071.46,4322,86,32,0,6039.61
575,502133.77,4338,515,395,505,3157.05
576,1723810.3,4306,1422,727,103,6939.99
577,1893670.73,5302,964,443,453,6074.97
578,2854591.74,4213,201,96,549,6994.69
579,3174389.47,5301,1757,712,326,7111.05
580,2375507.02,5308,74,38,1332,6414.73
581,1711316.96,4317,1583,719,13,6168.65
582,3233552.99,4319,601,302,11,7597.71
583,757795.25,5307,387,104,32,4088.42
584,2373829.39,5207,2851,1376,594,6181.32
585,1356885.93,4318,22,22,0,6174.38
586,2307203.03,4310,859,493,248,6824.04
587,1475221.36,3205,2112,968,855,5056.12
588,235824.32,4110,1191,367,66,2056.4
589,536973.1,4109,2321,987,140,2935.26
590,338199.15,4108,776,264,69,2362.73
591,2352799.82,4211,1474,733,1957,8148.86
592,785803.3,3204,2457,1479,1164,3554.92
593,897431.34,4205,1244,538,771,5044.04
594,790928.35,4206,1179,531,232,3768.05
595,596311.68,4203,914,442,353,3395.64
596,1357724.2,4201,2394,966,1560,5002.1
597,655831.85,4202,1156,446,577,3591.54
598,805284.6,4114,1969,834,156,3580.27
599,140442.39,4115,440,189,64,1522.94
600,192384.67,4113,787,293,55,1814.85
601,120021.42,3119,289,83,73,1514.92
602,806899.86,3118,1410,322,147,3916.02
603,183359.11,3128,38,27,224,1920.06
604,329223.04,3127,1130,447,305,2802.25
605,234461.81,3131,471,189,5,1919.37
606,280729.43,4107,807,270,111,2125.81
607,244345.58,4105,947,350,18,1974.81
608,112225.35,3132,233,61,131,1713.22
609,194905.87,3140,838,311,0,1915.39
610,332150,4106,1070,320,57,2333.53
611,160792.07,3126,455,164,122,1656.67
612,80730.38,3133,149,42,54,1342.46
613,144104.51,3139,508,94,44,1566.81
614,243259.84,3117,1036,360,373,2021.3
615,260508.68,3129,24,11,263,2708.8
616,110147.75,3130,159,35,31,1434.98
617,1278761.7,4210,1896,1078,82,4934.98
618,987906.72,4215,485,361,56,4363.46
619,631769.2,4214,1565,1077,447,3884.46
620,1254772.94,3202,2601,1262,572,4704.46
621,1362314.84,3212,2386,1244,653,4984.02
622,868956.79,3213,2435,1226,600,3779.2
623,1462195.79,3211,4016,1811,769,5337.15
624,811561.66,3203,2502,1153,356,3631.73
625,899961.54,3214,2001,896,450,3972.69
626,246485.86,3210,678,257,390,2236.59
627,1949649.56,4312,156,74,114,6285.09
628,2596978.47,4315,116,49,852,7188.29
629,1855437.31,4337,4151,2288,137,7090.56
630,471984.5,4327,862,366,249,3956.3
631,2783462.58,4324,280,108,67,6794.08
632,1338073.97,4326,50,38,3,5780.02
633,1443947.97,4323,94,55,243,7118.48
634,496947.74,4328A,664,335,99,4003.2
635,81086.25,4328,176,84,118,1321.53
636,123088.98,4330,103,31,254,2297.28
637,1660716.24,4333,232,136,447,6523.05
638,627004.64,4301,1010,505,620,3641.4
639,1078317.64,3324,3946,1881,399,4419.46
640,1196461.8,3317,45,8,335,5161.85
641,2682667.74,3310,5073,3038,1391,7729.34
642,1703988.74,3320,3005,1669,618,5359.76
643,1356234.18,3325,2075,1136,214,5210.28
644,1869179.55,4303,607,489,1659,6129.52
645,1160097.52,3319,1829,1142,201,4459.67
646,593709.9,3335,1691,908,588,3713.03
647,759973.91,4332,1741,1138,408,4396.25
648,1200408.08,4336,209,10,1767,5903.75
649,1015202.6,4302,1877,1178,721,5850.65
650,1043724.89,4331A,868,464,3491,4079.02
651,944291.41,3313,3566,1785,201,4365.01
652,610259.22,3312,1163,651,406,3169.69
653,813387.98,3311,1426,673,511,3649.17
654,356311.22,3307,715,361,518,2498.93
655,596127.04,3322,1534,780,220,3076.64
656,743355.98,3323,1463,692,318,3689.24
657,266377.93,3306,650,334,100,2152.56
658,229952.07,3308,370,240,720,1926.44
659,418148.07,3321,962,540,80,2585.75
660,154809,3309A,88,62,459,1848.11
661,1033657.59,3314,2809,1506,659,4302.07
662,1286856.66,3327,3041,1857,80,4519.97
663,579419.98,3330,515,285,20,4012.08
664,290857.62,2305,90,18,13,2195.28
665,1519911.05,1338,1608,748,839,7211.06
666,1438965.39,1340,1472,772,166,6063.66
667,4571806.46,2413,3426,1760,218,9500.76
668,1341040.21,2414,190,73,57,6511.64
669,612354.58,2408,563,343,33,5262.94
670,269189.07,1441,225,173,0,3491.31
671,1776471.48,1420,2430,1352,644,6357.59
672,1485932.61,1441A,1185,495,181,5710.58
673,6482854.99,2302,655,336,749,10051.27
674,2802607.93,2320,1117,814,286,9595.04
675,713193.68,2430A,63,43,85,7148.04
676,3116270.2,2303,3208,1555,5610,8072.96
677,4511167,2415,2379,1222,240,9594.18
678,2321378.59,2315,2700,1322,291,10046.87
679,969158.47,2304,355,136,192,4469.32
680,2607136.42,2314,4857,2366,480,6605.44
681,2980772.35,2306A,40,19,688,11308.72
682,2135510.39,1339,2729,930,1643,6272.85
683,2579300.63,2201,3596,1314,296,7481.53
684,1991512.27,2204,4672,1884,122,5884.91
685,3659562.06,2313,3236,1020,451,8537.33
686,5390810.66,2202,1777,868,441,12380.35
687,819323.64,2211,1230,477,555,4391.94
688,1349686.48,2206,1666,842,481,5150.25
689,611436.17,2207,696,259,593,3155.54
690,249874.41,2208,217,80,31,2129.57
691,275389.9,2210,235,64,173,2363.56
692,456738.6,2209,945,486,84,2951.89
693,310126.02,1207,964,419,232,2901.69
694,433322.27,1208,748,299,182,2930.78
695,127798.25,1210,345,101,163,2112.25
696,521201.77,1209,1609,563,26,2964.25
697,268055.7,1336A,40,22,876,2314.26
698,164867.5,1346A,95,46,926,1767.86
699,818294.34,2203,9,9,960,5474.07
700,1036238.94,2212,1934,615,951,6808.81
701,1117147.86,2212A,1256,526,98,6890.45
702,1514425.99,1432,2684,1687,2192,6810.99
703,1685795.99,1343,1463,701,336,6609.93
704,1814666.62,1442,4463,2857,612,6113.49
705,1929288.96,1332,1584,817,336,6012.57
706,818043.43,1349,1030,599,535,5715.87
707,651094.11,1350A,453,208,97,3864.01
708,1847476.48,1341,2601,1462,1523,7475.78
709,3020803.84,2301,3897,2538,153,10816.97
710,864448.06,1350,2204,1167,174,4196.62
711,80990.9,1330A,428,276,136,1189.4
712,167135.86,1330B,460,299,633,2519.21
713,1227888.52,1333,2154,1512,341,4634.46
714,411701.1,1345C,134,100,384,2849.84
715,174766.14,1345,23,7,451,2374.88
716,433818.78,1415A,855,592,128,3903.97
717,326239.91,1432A,257,132,244,3634.74
718,422808.1,1351A,822,413,578,2788.08
719,63394.82,1303C,119,84,257,1717.56
720,20737.76,1351,55,47,0,686.78
721,23908.18,1430D,212,151,0,821.58
722,5491.85,1430C,8,8,20,371.21
723,278337,1352A,124,2,536,2859.31
724,271359.67,1451,18,9,107,2740.57
725,102572.93,1435A,66,38,0,4064.5
726,533106.43,1435,517,216,2229,4503.2
727,2575173.73,1434,5255,2865,336,6705.99
728,552371.81,1444,19,13,199,3743.3
729,411142.46,1453,1377,836,25,3241.93
730,1558622.91,2312,1757,872,205,6611.45
731,1136825.41,2317,1251,678,189,4914.82
732,811389.28,2416,1020,609,912,4441.96
733,754372.03,2316,831,483,840,3808.83
734,299801.53,2322A,482,241,73,3037.9
735,243612.89,2311,116,61,102,3060.56
736,129338.62,2416A,8,8,497,2838.41
737,4170284.1,2408A,885,519,23,12304.68
738,6043844.12,2407,4053,2605,111,10626.08
739,1694239.64,2430,1718,945,24,10270.42
740,5863055.68,1511,618,317,29,12046.79
741,2395513.29,1431,4679,2473,237,7700.09
742,7670698.71,9505,2044,1074,47,11923.48
743,2951408.32,9510,358,193,19,9023.85
744,3630867,1506,1527,818,93,8092.63
745,6625143.81,9403,4458,2125,916,10951.82
746,3271044.26,1410,969,377,590,11920.31
747,2953725.16,9511,105,69,14,7686.8
748,2999538.1,9504,463,246,9,7921.03
749,1820248.14,9414,4876,2640,389,6381.75
750,2357259.51,9410,5817,3532,1315,7221.95
751,1969257.42,9415,3456,2032,121,8142.48
752,2096664.46,9402,5468,3355,422,8362.37
753,2304057.56,1509,78,29,427,6549.09
754,2039530.13,1412A,4467,2944,342,8025.06
755,2836019.28,1447,4332,3194,91,7704.52
756,2847226.47,1411A,2799,1627,1086,15970.79
757,492474.21,1448,66,30,1832,7289.61
758,179017.05,1412,492,287,231,3187.06
759,1624004.88,1429A,1064,643,1258,7042.97
760,137432.35,1429,49,21,660,1640.42
761,3361196.01,1520,881,364,0,7592.59
762,2322240.35,1514,200,75,0,6252.08
763,2146406.47,1423,3204,1846,109,5772.12
764,1777169.66,1422,2834,1386,491,5889.08
765,9368145.39,1502,1043,462,17,13300.86
766,1245507.52,1426,1990,915,2116,6107.06
767,1176905.57,1425,1742,856,575,4566.1
768,212183.74,1416A,154,69,25,5749.52
769,384497.61,1427,524,355,578,2533.47
770,472686.3,1452,523,237,597,2842.2
771,197061.26,1436A,330,167,1129,1835.6
772,743914.2,1428,1150,578,2116,3424.37
773,18982454.41,3506,910,550,10,21588.24
774,12968145.06,4502,2664,1393,18,18128.55
775,3722467.01,3513,3537,1759,133,11591.51
776,8295212.01,4505,490,168,0,22441.41
777,653861.35,3409,1090,613,42,7392.48
778,1384596.14,3409A,960,604,147,6708.38
779,3046926.8,3404,377,234,68,8605.65
780,872086.92,3405,1161,618,59,4385.96
781,2741014.26,3411,2267,1198,274,7140.8
782,9666282.98,3502,1342,665,14,12709.72
783,7500256.9,3510,2254,1106,429,13460.75
784,3913068.51,3505,1494,765,0,8093.7
785,3743755.3,4503,2444,1337,62,9007.41
786,5873443.19,3511,1176,643,24,13935.12
787,5816609.15,3507,1172,877,95,9942.45
788,7501527.78,4501,1781,919,32,11074.56
789,9369459.69,4409,1078,605,301,13210.89
790,9196940.35,3508,1674,871,0,13473.69
791,4869253.76,4410,72,41,0,9083.37
792,3769426.97,4411,157,74,0,8165.49
793,833679.1,3407,2027,1132,487,5415.27
794,1130305.74,3415,2264,1288,1029,5722.84
795,182681.27,3421A,139,74,366,2846.82
796,2670518.03,3417,2956,1795,1325,8218.7
797,1438386.27,3414,2711,1490,896,5104.66
798,1948832.2,3410,3013,1769,305,6255
799,193822.13,3423,413,320,15,2381.57
800,900394.83,3422,943,581,138,3877.06
801,997536.58,3419,17,12,2043,4610.59
802,1932310.61,3418,4160,2447,159,5842.74
803,50921.24,3418A,7,2,149,1029.01
804,261639.02,3326,13,13,704,2864.68
805,128318.51,3420A,312,168,15,2493.11
806,306672.8,3408A,552,312,262,3965.21
807,1095301.86,3412,701,384,161,4257.39
808,607651.36,3413,463,270,288,3343.86
809,5207170.24,3403,74,52,160,9942.84
810,891335.1,3402,7,7,491,6784.96
811,1695455.85,2410,134,59,6,6518.01
812,3371769.8,2411A,277,136,22,8740.07
